Title,Opponent,Competition,Venue,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,Referee:,Crowd,Manager,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22
Celtic v Rangers 6 March 1997,Celtic,Scottish Cup,Parkhead,Away,6,March,1997,1996 - 97,0-2,Lose,J McCluskey (Stewarton),49519,Walter Smith,Andy Goram,Alec Cleland,Davie Robertson,Gordan Petric,Alan McLaren,Joachim Bjorklund,Craig Moore,Ian Ferguson,Eric Bo Andersen,Jorge Albertz,Brian Laudrup,Ian Durrant,Ally McCoist,Peter Van Vossen,,,,,,,,
Rangers v Dundee Utd 12 March 1997,Dundee Utd,League,Ibrox Stadium,Home,12,March,1997,1996 - 97,0-2,Lose,M McCurry (Glasgow),49192,Walter Smith,Andy Goram,Alec Cleland,Craig Moore,Gordan Petric,Alan McLaren,Joachim Bjorklund,Gordon Durie,Ian Ferguson,Charlie Miller,Jorge Albertz,Brian Laudrup,Trevor Steven,Ally McCoist,,,,,,,,,
Celtic v Rangers 16 March 1997,Celtic,League,Parkhead,Away,16,March,1997,1996 - 97,1-0,Win,H Dallas (Bonkle),49929,Walter Smith,Andy Dibble,Alec Cleland,Jorge Albertz,Richard Gough,Alan McLaren,Joachim Bjorklund,Craig Moore,Ian Ferguson,Ian Durrant,Mark Hateley,Brian Laudrup,Charlie Miller,Ally McCoist,,,,,,,,,
Rangers v Kilmarnock 22 March 1997,Kilmarnock,League,Ibrox Stadium,Home,22,March,1997,1996 - 97,1-2,Lose,J Rowbotham (Kirkcaldy),50036,Walter Smith,Andy Dibble,Alec Cleland,Greg Shields,Craig Moore,Alan McLaren,Joachim Bjorklund,Gordon Durie,Charlie Miller,Ian Durrant,Jorge Albertz,Brian Laudrup,Gordan Petric,Ally McCoist,Darren Fitzgerald,,,,,,,,
Rangers v Dunfermline Athletic 5 April 1997,Dunfermline Athletic,League,Ibrox Stadium,Home,5,April,1997,1996 - 97,4-0,Win,M McCurry (Glasgow),49832,Walter Smith,Andy Dibble,Alec Cleland,Davie Robertson,Gordan Petric,Alan McLaren,Joachim Bjorklund,Craig Moore,Jorge Albertz,Gordon Durie,Brian Laudrup,Mark Hateley,,,,,,,,,,,
Raith Rovers v Rangers 15 April 1997,Raith Rovers,League,Stark's Park,Away,15,April,1997,1996 - 97,6-0,Win,R Tait (East Kilbride),9745,Walter Smith,Andy Dibble,Alec Cleland,Davie Robertson,Gordan Petric,Alan McLaren,Joachim Bjorklund,Craig Moore,Jorge Albertz,Gordon Durie,Mark Hateley,Brian Laudrup,Ally McCoist,Ian Ferguson,Paul Gascoigne,,,,,,,,
Rangers v Motherwell 5 May 1997,Motherwell,League,Ibrox Stadium,Home,5,May,1997,1996 - 97,0-2,Lose,J Rowbotham (Kirkcaldy),50059,Walter Smith,Andy Dibble,Alec Cleland,Davie Robertson,Richard Gough,Alan McLaren,Joachim Bjorklund,Craig Moore,Jorge Albertz,Gordon Durie,Mark Hateley,Brian Laudrup,Ian Durrant,Ally McCoist,Paul Gascoigne,,,,,,,,
Dundee Utd v Rangers 7 May 1997,Dundee Utd,League,Tannadice,Away,7,May,1997,1996 - 97,1-0,Win,S Dougal (Burnside),13097,Walter Smith,Andy Dibble,Alec Cleland,Davie Robertson,Gordan Petric,Alan McLaren,Joachim Bjorklund,Craig Moore,Paul Gascoigne,Gordon Durie,Charlie Miller,Brian Laudrup,,,,,,,,,,,
Hearts v Rangers 10 May 1997,Hearts,League,Tynecastle ,Away,10,May,1997,1996 - 97,1-3,Lose,J McCluskey (Stewarton),13097,Walter Smith,Andy Dibble,Greg Shields,Davie Robertson,Stephen Wright,Gordan Petric,Joachim Bjorklund,Barry Ferguson,Paul Gascoigne,Ally McCoist,Peter Van Vossen,Ian Durrant,Charlie Miller,Gordon Durie,Derek McInnes,,,,,,,,
Arsenal v Rangers 13 May 1997,Arsenal,Challenge Match,Highbury,Away,13,May,1997,1996 - 97,3-3,Draw,Dermot Gallagher (Banbury),20022,Walter Smith,Andy Dibble,Stephen Wright,Jorge Albertz,Steven Pressley,Stephen Watson,David Unsworth,John Moncur,Paul Gascoigne,Ally McCoist,Gordon Durie,Charlie Miller,Derek McInnes,Peter Van Vossen,Ian Durrant,Greg Shields,Gary Bollan,,,,,,
