Title,Opponent,Competition,Venue,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,Referee:,Crowd,Manager,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22
Clyde v Rangers 26 November 1927,Clyde,League,Shawfield Park,Away,26,November,1927,1927-28,4-1,Win,P Craigmyle (Aberdeen),18000,Bill Struth,William Moyies,Dougie Gray,Billy McCandless,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Hamilton Acas v Rangers 3 December 1927,Hamilton Acas,League,Douglas Park,Away,3,December,1927,1927-28,1-1,Draw,WG Holborn (Glasgow),15000,Bill Struth,Tom Hamilton,Dougie Gray,Billy McCandless,Bob McPhail,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Jimmy Fleming,Andy Cunningham,Alan Morton,,,,,,,,,,,
Rangers v Dundee 10 December 1927,Dundee,League,Ibrox Park,Home,10,December,1927,1927-28,5-1,Win,J Mackay (Glasgow),10000,Bill Struth,Tom Hamilton,Dougie Gray,Billy McCandless,Davie Meiklejohn,Jimmy Simpson,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Kilmarnock v Rangers 17 December 1927,Kilmarnock,League,Rugby Park,Away,17,December,1927,1927-28,1-1,Draw,T Dougray (Bellshill),14440,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Aberdeen 24 December 1927,Aberdeen,League,Ibrox Park,Home,24,December,1927,1927-28,5-0,Win,AB Williamson (Glasgow),15000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Tommy Muirhead,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
St Johnstone v Rangers 31 December 1927,St Johnstone,League,Muirton Park,Away,31,December,1927,1927-28,1-0,Win,C Ritchie (Leith),10000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Celtic v Rangers 2 January 1928,Celtic,League,Parkhead,Away,2,January,1928,1927-28,0-1,Lose,A Leishman (Falkirk),69000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Partick Thistle 3 January 1928,Partick Thistle,League,Ibrox Park,Home,3,January,1928,1927-28,2-1,Win,A Scott (Mossend),20000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,John Haddow,,,,,,,,,,,
Rangers v Cowdenbeath 7 January 1928,Cowdenbeath,League,Ibrox Park,Home,7,January,1928,1927-28,2-2,Draw,William Bell (Motherwell),10000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Dr James Marshall,Bob McPhail,Jimmy Fleming,,,,,,,,,,,
Airdrie v Rangers 14 January 1928,Airdrie,League,Broomfield Park,Away,14,January,1928,1927-28,7-2,Win,P Craigmyle (Aberdeen),8000,Bill Struth,William Moyies,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
East Stirling v Rangers 21 January 1928,East Stirling,Scottish Cup,Firs Park (Falkirk),Away,21,January,1928,1927-28,6-0,Win,T Small (Dundee),5500,Bill Struth,Duncan Yuille,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Bo'ness 28 January 1928,Bo'ness,League,Ibrox Park,Home,28,January,1928,1927-28,3-1,Win,JS Archer (New Stevenston),12000,Bill Struth,Duncan Yuille,Dougie Gray,Robert Hamilton,Tommy Muirhead,Jimmy Simpson,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Cowdenbeath 4 February 1928,Cowdenbeath,Scottish Cup,Ibrox Park,Home,4,February,1928,1927-28,4-2,Win,T Dougray (Bellshill),30226,Bill Struth,Duncan Yuille,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Motherwell 11 February 1928,Motherwell,League,Ibrox Park,Home,11,February,1928,1927-28,0-2,Lose,T Small (Dundee),45000,Bill Struth,Duncan Yuille,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
St Mirren v Rangers 14 February 1928,St Mirren,League,Love Street,Away,14,February,1928,1927-28,3-3,Draw,AB Leishman (Falkirk),15000,Bill Struth,Duncan Yuille,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v King's Park 18 February 1928,King's Park,Scottish Cup,Ibrox Park,Home,18,February,1928,1927-28,3-1,Win,T Small (Dundee),20000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Queen's Park 28 February 1928,Queen's Park,League,Ibrox Park,Home,28,February,1928,1927-28,4-0,Win,AB Williamson (Glasgow),10000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Albion Rovers v Rangers 3 March 1928,Albion Rovers,Scottish Cup,Cliftonhill Park,Away,3,March,1928,1927-28,1-0,Win,William Bell (Motherwell),24000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Hearts v Rangers 7 March 1928,Hearts,League,Tynecastle Park,Away,7,March,1928,1927-28,0-0,Draw,William Bell (Motherwell),19000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Hibs v Rangers 17 March 1928,Hibs,League,Easter Road,Away,17,March,1928,1927-28,1-2,Lose,D Calder (Rutherglen),18000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Hibs v Rangers 24 March 1928,Hibs,Scottish Cup,Tynecastle Park (Neutral Venue),Away,24,March,1928,1927-28,3-0,Win,T Small (Dundee),43669,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Jimmy Simpson,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Falkirk 28 March 1928,Falkirk,League,Ibrox Park,Home,28,March,1928,1927-28,4-0,Win,R Innes (Glasgow),10000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Clyde 31 March 1928,Clyde,League,Ibrox Park,Home,31,March,1928,1927-28,3-1,Win,unknown - to be confirmed,18000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Tommy Muirhead,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Dr James Marshall,,,,,,,,,,,
Raith Rovers v Rangers 2 April 1928,Raith Rovers,League,Stark's Park ,Away,2,April,1928,1927-28,0-0,Draw,Tom Dougray (Bellshill),10000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Jimmy Simpson,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Hamilton Acas 7 April 1928,Hamilton Acas,League,Ibrox Park,Home,7,April,1928,1927-28,3-1,Win,T Small (Dundee),15000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Jimmy Simpson,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Dunfermline Athletic 9 April 1928,Dunfermline Athletic,League,Ibrox Park,Home,9,April,1928,1927-28,4-0,Win,J McKay (Glasgow),10000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Jimmy Simpson,Bob McPhail,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Andy Cunningham,Alan Morton,,,,,,,,,,,
Rangers v Celtic 14 April 1928,Celtic,Scottish Cup,Hampden Park (Neutral Venue),Neutral,14,April,1928,1927-28,4-0,Win,W Bell (Motherwell),118115,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Dundee v Rangers 18 April 1928,Dundee,League,Dens Park,Away,18,April,1928,1927-28,1-0,Win,WG Holborn (Glasgow),12000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Jimmy Simpson,Davie Meiklejohn,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Kilmarnock 21 April 1928,Kilmarnock,League,Ibrox Park,Home,21,April,1928,1927-28,5-1,Win,A.H. Leishman (Falkirk),28000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Bo'ness v Rangers 28 April 1928,Bo'ness,League,Newtown Park,Away,28,April,1928,1927-28,1-1,Draw,William Bell (Motherwell),4000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Tommy Muirhead,Alan Morton,,,,,,,,,,,
Celtic v Rangers 5 May 1928,Celtic,Glasgow Merchants Charity Cup,Parkhead,Away,5,May,1928,1927-28,2-0,Win,A.H. Leishman (Falkirk),27000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Robert Ireland,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Queen's Park 12 May 1928,Queen's Park,Glasgow Merchants Charity Cup,Parkhead (Neutral Venue),Neutral,12,May,1928,1927-28,3-1,Win,Tom Dougray (Bellshill),27000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
National League Select v Rangers 30 May 1928,National League Select,Challenge Match,Philadelphia,Away,30,May,1928,1927-28,8-2,Win,,4000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Brooklyn Wanderers v Rangers 2 June 1928,Brooklyn Wanderers,Challenge Match,Ebbets Field,Away,2,June,1928,1927-28,4-0,Win,,20000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Fall River v Rangers 3 June 1928,Fall River,Challenge Match,Marks Stadium,Away,3,June,1928,1927-28,0-0,Draw,,15000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Tommy Muirhead,Alan Morton,,,,,,,,,,,
West Penn All Stars v Rangers 9 June 1928,West Penn All Stars,Challenge Match,Pitt Stadium,Away,9,June,1928,1927-28,9-0,Win,,8000,Bill Struth,Tom Hamilton,Dougie Gray,Billy McCandless,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Detroit Select v Rangers 10 June 1928,Detroit Select,Challenge Match,University of Detroit Stadium,Away,10,June,1928,1927-28,1-1,Draw,,15000,Bill Struth,Tom Hamilton,Billy McCandless,Robert Hamilton,Jock Buchanan,Jimmy Simpson,Thomas 'Tully' Craig,William Hair,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Ulster Utd v Rangers 13 June 1928,Ulster Utd,Challenge Match,Toronto (Canada),Away,13,June,1928,1927-28,7-0,Win,,19000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Montreal v Rangers 16 June 1928,Montreal,Challenge Match,Baseball Stadium,Away,16,June,1928,1927-28,5-1,Win,,,Bill Struth,Tom Hamilton,Dougie Gray,Billy McCandless,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Dr James Marshall,Bob McPhail,Tommy Muirhead,,,,,,,,,,,
Boston v Rangers 18 June 1928,Boston,Challenge Match,Fenway Park,Away,18,June,1928,1927-28,2-2,Draw,,12000,Bill Struth,Tom Hamilton,Dougie Gray,Billy McCandless,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Dr James Marshall,Bob McPhail,Tommy Muirhead,,,,,,,,,,,
Illinois All Stars v Rangers 20 June 1928,Illinois All Stars,Challenge Match,Chicago (USA),Away,20,June,1928,1927-28,4-1,Win,,,Bill Struth,Tom Hamilton,Dougie Gray,Billy McCandless,Jock Buchanan,Davie Meiklejohn,Jimmy Simpson,Sandy Archibald,Andy Cunningham,Dr James Marshall,Bob McPhail,Tommy Muirhead,,,,,,,,,,,
America Select v Rangers 23 June 1928,America Select,Challenge Match,"Brooklyn, New York (USA)",Away,23,June,1928,1927-28,6-0,Win,,18000,Bill Struth,Tom Hamilton,Dougie Gray,Billy McCandless,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Dr James Marshall,Bob McPhail,Tommy Muirhead,,,,,,,,,,,
Rangers v Kilmarnock 11 August 1928,Kilmarnock,League,Ibrox Park,Home,11,August,1928,1928-29,4-2,Win,C Ritchie (Edinburgh),20000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
St Mirren v Rangers 18 August 1928,St Mirren,League,Love Street,Away,18,August,1928,1928-29,5-1,Win,T Small (Dundee),22000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Arbroath v Rangers 22 August 1928,Arbroath,Challenge Match,Gayfield,Away,22,August,1928,1928-29,3-2,Win,,2500,Bill Struth,Tom Hamilton,James Purdon,David Weir,Robert McDonald,Jimmy Simpson,Billy McCandless,William Hair,George McMillan,Dr James Marshall,James McPherson,Thomas Lockie,,,,,,,,,,,
Rangers v Cowdenbeath 25 August 1928,Cowdenbeath,League,Ibrox Park,Home,25,August,1928,1928-29,3-1,Win,R Innes (Glasgow),20000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Celtic 1 September 1928,Celtic,Glasgow Cup,Ibrox Park,Home,1,September,1928,1928-29,1-2,Lose,A.H. Leishman (Falkirk),80000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Clydebank v Rangers 4 September 1928,Clydebank,Challenge Match,Kilbowie Park,Away,4,September,1928,1928-29,5-1,Win,,,Bill Struth,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,
Dundee v Rangers 8 September 1928,Dundee,League,Dens Park,Away,8,September,1928,1928-29,3-2,Win,Tom Dougray (Bellshill),16000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Robert Ireland,Davie Meiklejohn,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Celtic 11 September 1928,Celtic,Challenge Match,Recreation Ground (N Venue),Neutral,11,September,1928,1928-29,3-0,Win,Tom Dougray (Bellshill),5000,Bill Struth,Tom Hamilton,James Purdon,James Hamilton,Robert McDonald,Robert Ireland,Billy McCandless,William Hair,George McMillan,Dr James Marshall,James McPherson,Thomas Lockie,,,,,,,,,,,
Hearts v Rangers 15 September 1928,Hearts,League,Tynecastle Park,Away,15,September,1928,1928-29,1-0,Win,William Bell (Motherwell),48000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Kilmarnock v Rangers 19 September 1928,Kilmarnock,Challenge Match,Rugby Park,Away,19,September,1928,1928-29,2-7,Lose,,1500,Bill Struth,William Moyies,Billy McCandless,James Purdon,Robert McDonald,Robert Ireland,Tommy Muirhead,William Hair,Jimmy Simpson,Dr James Marshall,James McPherson,Thomas Lockie,,,,,,,,,,,
Rangers v Raith Rovers 22 September 1928,Raith Rovers,League,Ibrox Park,Home,22,September,1928,1928-29,7-1,Win,C Ritchie (Edinburgh),16000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Motherwell 29 September 1928,Motherwell,League,Ibrox Park,Home,29,September,1928,1928-29,0-0,Draw,R Morrison (Falkirk),45000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Third Lanark v Rangers 6 October 1928,Third Lanark,League,New Cathkin Park,Away,6,October,1928,1928-29,5-2,Win,A.H. Leishman (Falkirk),22000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v St Johnstone 13 October 1928,St Johnstone,League,Ibrox Park,Home,13,October,1928,1928-29,8-0,Win,J Hudson (Glasgow),25000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Celtic v Rangers 20 October 1928,Celtic,League,Parkhead,Away,20,October,1928,1928-29,2-1,Win,T Small (Dundee),40000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Tommy Muirhead,Sandy Archibald,George McMillan,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Hibs v Rangers 3 November 1928,Hibs,League,Easter Road,Away,3,November,1928,1928-29,2-1,Win,R Innes (Glasgow),22000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Robert Ireland,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Falkirk v Rangers 10 November 1928,Falkirk,League,Brockville Park,Away,10,November,1928,1928-29,4-1,Win,T Small (Dundee),15000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Robert Ireland,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Andy Cunningham,Alan Morton,,,,,,,,,,,
Rangers v Hamilton Acas 17 November 1928,Hamilton Acas,League,Ibrox Park,Home,17,November,1928,1928-29,4-0,Win,P Craigmyle (Aberdeen),14000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Andy Cunningham,Alan Morton,,,,,,,,,,,
Clyde v Rangers 24 November 1928,Clyde,League,Shawfield Park,Away,24,November,1928,1928-29,3-2,Win,H Watson (Glasgow),15000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Andy Cunningham,Alan Morton,,,,,,,,,,,
Ayr Utd v Rangers 1 December 1928,Ayr Utd,League,Somerset Park,Away,1,December,1928,1928-29,3-1,Win,A.B. Williamson (Glasgow),18500,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Clyde 5 December 1928,Clyde,Challenge Match,Ibrox Park,Home,5,December,1928,1928-29,6-0,Win,R Innes (Glasgow),3000,Bill Struth,Tom Hamilton,Dougie Gray,James Purdon,Robert McDonald,Davie Meiklejohn,Jimmy Simpson,Sandy Archibald,Andy Cunningham,Dr James Marshall,George McMillan,Alan Morton,,,,,,,,,,,
Rangers v Aberdeen 8 December 1928,Aberdeen,League,Ibrox Park,Home,8,December,1928,1928-29,2-0,Win,M Quinn (Bellshill),15000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Partick Thistle 11 December 1928,Partick Thistle,Challenge Match,Hampden Park (Neutral Venue),Neutral,11,December,1928,1928-29,0-2,Lose,Tom Dougray (Bellshill),5000,Bill Struth,Tom Hamilton,Dougie Gray,James Purdon,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Airdrie v Rangers 15 December 1928,Airdrie,League,Broomfield Park,Away,15,December,1928,1928-29,5-2,Win,T Small (Dundee),8000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v St Mirren 22 December 1928,St Mirren,League,Ibrox Park,Home,22,December,1928,1928-29,1-1,Draw,William Bell (Motherwell),15000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Robert Ireland,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Tommy Muirhead,Alan Morton,,,,,,,,,,,
Kilmarnock v Rangers 29 December 1928,Kilmarnock,League,Rugby Park,Away,29,December,1928,1928-29,3-1,Win,Campbell Bilney (Glasgow),23000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Celtic 1 January 1929,Celtic,League,Ibrox Park,Home,1,January,1929,1928-29,3-0,Win,A.H. Leishman (Falkirk),60000,Bill Struth,Tom Hamilton,Jock Buchanan,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Partick Thistle 2 January 1929,Partick Thistle,League,Ibrox Park,Home,2,January,1929,1928-29,1-0,Win,C Ritchie (Leith),10000,Bill Struth,Tom Hamilton,Jock Buchanan,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Cowdenbeath v Rangers 5 January 1929,Cowdenbeath,League,Central Park,Away,5,January,1929,1928-29,2-0,Win,Campbell Bilney (Glasgow),5000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Queen's Park v Rangers 12 January 1929,Queen's Park,League,Hampden Park,Away,12,January,1929,1928-29,4-0,Win,R Morrison (Falkirk),60000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Jimmy Simpson,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
