Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 14 August 1957,Partick Thistle,League Cup,Away,14,August,1957,1957 - 58,1-0,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,John Valentine,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Raith Rovers 17 August 1957,Raith Rovers,League Cup,Home,17,August,1957,1957 - 58,4-3,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Harold Davis,Jimmy Millar,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 19 August 1957,Celtic,Glasgow Cup,Home,19,August,1957,1957 - 58,2-0,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,John Valentine,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 24 August 1957,St Mirren,League Cup,Away,24,August,1957,1957 - 58,4-0,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,John Valentine,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 28 August 1957,Partick Thistle,League Cup,Home,28,August,1957,1957 - 58,0-3,Lose,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,John Valentine,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Bobby Morrison,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raith Rovers v Rangers 31 August 1957,Raith Rovers,League Cup,Away,31,August,1957,1957 - 58,3-4,Lose,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Harold Davis,Sammy Baird,Alex Scott,Billy Simpson,Don Kichenbrand,Max Murray,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Etienne 4 September 1957,St Etienne,European Cup,Home,4,September,1957,1957 - 58,3-1,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Harold Davis,Sammy Baird,Alex Scott,Billy Simpson,Don Kichenbrand,Max Murray,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen of the South 7 September 1957,Queen of the South,League,Home,7,September,1957,1957 - 58,4-2,Win,Billy Ritchie,John Little,Eric Caldow,Bobby Shearer,Ian McColl,Sammy Baird,Alex Scott,Billy Simpson,Don Kichenbrand,Max Murray,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 11 September 1957,Kilmarnock,League Cup,Away,11,September,1957,1957 - 58,1-2,Lose,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,William Moles,Sammy Baird,Alex Scott,Billy Simpson,Don Kichenbrand,Jimmy Millar,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock 14 September 1957,Kilmarnock,League Cup,Home,14,September,1957,1957 - 58,3-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,William Moles,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 21 September 1957,Celtic,League,Home,21,September,1957,1957 - 58,2-3,Lose,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,John Valentine,Alan Austin,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Etienne v Rangers 25 September 1957,St Etienne,European Cup,Away,25,September,1957,1957 - 58,1-2,Lose,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,John Valentine,Jimmy Millar,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Brechin City 28 September 1957,Brechin City,League Cup,Neutral,28,September,1957,1957 - 58,4-0,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,John Valentine,Jimmy Millar,Davie Wilson,Tom Robertson,Don Kichenbrand,Harry Melrose,Max Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 12 October 1957,St Mirren,League,Away,12,October,1957,1957 - 58,3-1,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,John Valentine,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 19 October 1957,Celtic,League Cup,Neutral,19,October,1957,1957 - 58,1-7,Lose,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,John Valentine,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 23 October 1957,Partick Thistle,Glasgow Cup,Home,23,October,1957,1957 - 58,1-1,Draw,George Niven,Eric Caldow,John Little,Ian McColl,William Moles,Jimmy Millar,Alex Scott,Billy Simpson,Don Kichenbrand,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 26 October 1957,Hearts,League,Home,26,October,1957,1957 - 58,2-3,Lose,George Niven,Eric Caldow,John Little,Ian McColl,William Moles,Jimmy Millar,Alex Scott,Billy Simpson,Don Kichenbrand,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 30 October 1957,Partick Thistle,Glasgow Cup,Away,30,October,1957,1957 - 58,6-3,Win,George Niven,Eric Caldow,John Little,Ian McColl,William Moles,Jimmy Millar,Alex Scott,Billy Simpson,Don Kichenbrand,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 2 November 1957,Queen's Park,League,Away,2,November,1957,1957 - 58,4-2,Win,George Niven,Eric Caldow,John Little,Ian McColl,William Moles,Jimmy Millar,Alex Scott,Billy Simpson,Don Kichenbrand,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock 9 November 1957,Kilmarnock,League,Home,9,November,1957,1957 - 58,3-4,Lose,George Niven,Eric Caldow,John Little,Ian McColl,William Moles,Jimmy Millar,Alex Scott,Billy Simpson,Don Kichenbrand,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clyde 16 November 1957,Clyde,League,Home,16,November,1957,1957 - 58,2-0,Win,Billy Ritchie,John Little,Eric Caldow,Jimmy Millar,Willie Telfer,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk v Rangers 23 November 1957,Falkirk,League,Away,23,November,1957,1957 - 58,4-0,Win,Billy Ritchie,John Little,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,Alex Scott,Jimmy Millar,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Milan 27 November 1957,Milan,European Cup,Home,27,November,1957,1957 - 58,1-4,Lose,Billy Ritchie,John Little,Eric Caldow,Ian McColl,Willie Telfer,Jimmy Millar,Alex Scott,Billy Simpson,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v East Fife 30 November 1957,East Fife,League,Home,30,November,1957,1957 - 58,3-3,Draw,Billy Ritchie,John Little,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,Alex Scott,Jimmy Millar,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motherwell v Rangers 7 December 1957,Motherwell,League,Away,7,December,1957,1957 - 58,2-2,Draw,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan v Rangers 11 December 1957,Milan,European Cup,Away,11,December,1957,1957 - 58,0-2,Lose,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Don Kichenbrand,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 14 December 1957,Dundee,League,Away,14,December,1957,1957 - 58,2-1,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Billy Simpson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 18 December 1957,Third Lanark,Glasgow Cup,Home,18,December,1957,1957 - 58,1-1,Draw,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Billy Simpson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 21 December 1957,Third Lanark,League,Home,21,December,1957,1957 - 58,5-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen v Rangers 28 December 1957,Aberdeen,League,Away,28,December,1957,1957 - 58,2-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 1 January 1958,Celtic,League,Away,1,January,1958,1957 - 58,1-0,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 2 January 1958,Partick Thistle,League,Home,2,January,1958,1957 - 58,2-0,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of the South v Rangers 4 January 1958,Queen of the South,League,Away,4,January,1958,1957 - 58,1-1,Draw,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,John Queen,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 11 January 1958,Hibs,League,Home,11,January,1958,1957 - 58,3-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Billy Simpson,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airdrie v Rangers 18 January 1958,Airdrie,League,Away,18,January,1958,1957 - 58,4-3,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Billy Simpson,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowdenbeath v Rangers 1 February 1958,Cowdenbeath,Scottish Cup,Away,1,February,1958,1957 - 58,3-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Billy Simpson,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forfar Athletic v Rangers 15 February 1958,Forfar Athletic,Scottish Cup,Away,15,February,1958,1957 - 58,9-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Billy Simpson,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Scotland 17 February 1958,Scotland,Challenge Match,Home,17,February,1958,1957 - 58,1-1,Draw,Billy Ritchie,Bobby Shearer,John Little,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Billy Simpson,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 22 February 1958,Queen's Park,League,Home,22,February,1958,1957 - 58,5-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,George Duncan,Billy Simpson,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunfermline Athletic v Rangers 1 March 1958,Dunfermline Athletic,Scottish Cup,Away,1,March,1958,1957 - 58,2-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Billy Simpson,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde v Rangers 8 March 1958,Clyde,League,Away,8,March,1958,1957 - 58,3-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,George Duncan,Jimmy Millar,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 10 March 1958,Kilmarnock,League,Away,10,March,1958,1957 - 58,3-3,Draw,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,George Duncan,Jimmy Millar,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of the South v Rangers 15 March 1958,Queen of the South,Scottish Cup,Away,15,March,1958,1957 - 58,4-3,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,George Duncan,Jimmy Millar,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Falkirk 19 March 1958,Falkirk,League,Home,19,March,1958,1957 - 58,3-2,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,George Duncan,Jimmy Millar,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Fife v Rangers 22 March 1958,East Fife,League,Away,22,March,1958,1957 - 58,1-0,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Motherwell 29 March 1958,Motherwell,League,Home,29,March,1958,1957 - 58,2-2,Draw,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,George Duncan,Jimmy Millar,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 31 March 1958,Third Lanark,Glasgow Cup,Home,31,March,1958,1957 - 58,4-2,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Ralph Brand,Jimmy Millar,Max Murray,Harold Davis,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 5 April 1958,Hibs,Scottish Cup,Neutral,5,April,1958,1957 - 58,2-2,Draw,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 9 April 1958,Hibs,Scottish Cup,Neutral,9,April,1958,1957 - 58,1-2,Lose,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,George Duncan,Jimmy Millar,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 12 April 1958,Third Lanark,League,Away,12,April,1958,1957 - 58,5-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,George Duncan,Jimmy Millar,Billy Simpson,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Raith Rovers 16 April 1958,Raith Rovers,League,Home,16,April,1958,1957 - 58,4-1,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Ralph Brand,Jimmy Millar,Max Murray,Harold Davis,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 21 April 1958,Hibs,League,Away,21,April,1958,1957 - 58,1-3,Lose,Billy Ritchie,Bobby Shearer,John Little,Ian McColl,Willie Telfer,Sammy Baird,Ralph Brand,Jimmy Millar,Max Murray,Billy Simpson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raith Rovers v Rangers 23 April 1958,Raith Rovers,League,Away,23,April,1958,1957 - 58,3-1,Win,Billy Ritchie,Bobby Shearer,John Little,Ian McColl,Willie Telfer,Sammy Baird,Ralph Brand,Jimmy Millar,Billy Simpson,Harold Davis,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Aberdeen 26 April 1958,Aberdeen,League,Home,26,April,1958,1957 - 58,5-0,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Mirren 28 April 1958,St Mirren,League,Home,28,April,1958,1957 - 58,1-0,Win,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,George Duncan,Jimmy Millar,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 30 April 1958,Hearts,League,Away,30,April,1958,1957 - 58,1-2,Lose,Billy Ritchie,Bobby Shearer,John Little,Ian McColl,Willie Telfer,Harold Davis,John Queen,Davie Wilson,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Airdrie 3 May 1958,Airdrie,League,Home,3,May,1958,1957 - 58,1-2,Lose,Billy Ritchie,Bobby Shearer,John Little,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Davie Wilson,Billy Simpson,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 5 May 1958,Partick Thistle,League,Away,5,May,1958,1957 - 58,2-1,Win,Billy Ritchie,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Smith,Alex Scott,Jimmy Millar,Max Murray,Billy Simpson,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 8 May 1958,Celtic,Glasgow Merchants Charity Cup,Home,8,May,1958,1957 - 58,1-1,Draw,Billy Ritchie,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Smith,George Duncan,Jimmy Millar,Max Murray,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dundee 10 May 1958,Dundee,League,Home,10,May,1958,1957 - 58,0-1,Lose,Billy Ritchie,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Billy Smith,Alex Scott,Jimmy Millar,Max Murray,Harold Davis,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clyde 12 May 1958,Clyde,Glasgow Merchants Charity Cup,Neutral,12,May,1958,1957 - 58,0-4,Lose,Billy Ritchie,Bobby Shearer,John Little,Ian McColl,Willie Telfer,Harold Davis,Alex Scott,Billy Hogg,Max Murray,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 9 August 1958,Hearts,League Cup,Home,9,August,1958,1958 - 59,3-0,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raith Rovers v Rangers 13 August 1958,Raith Rovers,League Cup,Away,13,August,1958,1958 - 59,1-3,Lose,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 16 August 1958,Third Lanark,League Cup,Home,16,August,1958,1958 - 59,2-2,Draw,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Davie Wilson,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 20 August 1958,Third Lanark,League,Home,20,August,1958,1958 - 59,2-2,Draw,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Andy McEwan,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 23 August 1958,Hearts,League Cup,Away,23,August,1958,1958 - 59,1-2,Lose,Norrie Martin,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Sammy Baird,Alex Scott,Jimmy Millar,Max Murray,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Raith Rovers 27 August 1958,Raith Rovers,League Cup,Home,27,August,1958,1958 - 59,6-0,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 30 August 1958,Third Lanark,League Cup,Away,30,August,1958,1958 - 59,3-0,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 1 September 1958,Third Lanark,Glasgow Cup,Away,1,September,1958,1958 - 59,3-1,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 6 September 1958,Celtic,League,Away,6,September,1958,1958 - 59,2-2,Draw,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,Alex Scott,Ralph Brand,Max Murray,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 13 September 1958,Partick Thistle,League,Home,13,September,1958,1958 - 59,2-1,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Bill Paterson,Harold Davis,Alex Scott,Ralph Brand,Max Murray,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v British Army 16 September 1958,British Army,Challenge Match,Home,16,September,1958,1958 - 59,0-1,Lose,George Niven,Hugh Neill,Eric Caldow,Bobby Orr,Ian McColl,Harold Davis,Alex Scott,Billy Simpson,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airdrie v Rangers 20 September 1958,Airdrie,League,Away,20,September,1958,1958 - 59,4-5,Lose,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,Alex Scott,Billy Hogg,Billy Simpson,Davie Wilson,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dundee 27 September 1958,Dundee,League,Home,27,September,1958,1958 - 59,1-2,Lose,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,Alex Scott,Johnny Hubbard,Davie Wilson,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clyde 29 September 1958,Clyde,Glasgow Cup,Neutral,29,September,1958,1958 - 59,0-0,Draw,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,George Duncan,Sammy Baird,Alex Scott,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunfermline Athletic v Rangers 4 October 1958,Dunfermline Athletic,League,Away,4,October,1958,1958 - 59,7-1,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,George Duncan,Sammy Baird,Alex Scott,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Mirren 11 October 1958,St Mirren,League,Home,11,October,1958,1958 - 59,2-1,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Harold Davis,George Duncan,Sammy Baird,Alex Scott,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Raith Rovers 18 October 1958,Raith Rovers,League,Home,18,October,1958,1958 - 59,4-4,Draw,George Niven,Bobby Shearer,John Little,Ian McColl,Willie Telfer,Harold Davis,George Duncan,Ian McMillan,Alex Scott,Sammy Baird,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clyde 22 October 1958,Clyde,Glasgow Cup,Home,22,October,1958,1958 - 59,0-1,Lose,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Sammy Baird,George Duncan,Ian McMillan,Alex Scott,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling Albion v Rangers 25 October 1958,Stirling Albion,League,Away,25,October,1958,1958 - 59,2-2,Draw,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Billy Hogg,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 1 November 1958,Hibs,League,Home,1,November,1958,1958 - 59,4-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Billy Simpson,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde v Rangers 8 November 1958,Clyde,League,Away,8,November,1958,1958 - 59,4-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Billy Simpson,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Napoli 11 November 1958,Napoli,Challenge Match,Home,11,November,1958,1958 - 59,5-2,Win,Billy Ritchie,Bobby Shearer,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Davie Wilson,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
