Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 11 September 1875,Vale of Leven,Challenge Match,Home,11,September,1875,1875-76,1-1,Draw,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,James Watson,George Philips,David Gibb,John Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Helensburgh 18 September 1875,Helensburgh,Challenge Match,Home,18,September,1875,1875-76,1-1,Draw,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,James Watson,George Philips,David Gibb,John Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vale of Leven v Rangers 25 September 1875,Vale of Leven,Challenge Match,Away,25,September,1875,1875-76,0-4,Lose,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,James Watson,George Philips,David Gibb,John Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clydesdale 2 October 1875,Clydesdale,Challenge Match,Home,2,October,1875,1875-76,1-1,Draw,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,George Philips,James Watson,James Campbell,John Campbell,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v First Lanark Rifle Volunteers 16 October 1875,First Lanark Rifle Volunteers,Scottish Cup,Home,16,October,1875,1875-76,7-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,George Philips,James Watson,James Campbell,John Campbell,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 30 October 1875,Third Lanark,Scottish Cup,Away,30,October,1875,1875-76,1-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,George Philips,James Watson,James Campbell,John Campbell,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havelock v Rangers 6 November 1875,Havelock,Challenge Match,Away,6,November,1875,1875-76,4-0,Win,W Watson,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,George Philips,James Watson,James Campbell,John Campbell,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 13 November 1875,Third Lanark,Scottish Cup,Home,13,November,1875,1875-76,1-2,Lose,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,James Watson,James Campbell,George Philips,W Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 20 November 1875,Queen's Park,Challenge Match,Away,20,November,1875,1875-76,0-2,Lose,James Yuill,Tom Vallance,J Wight,William McBeath,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,James Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caledonian v Rangers 25 December 1875,Caledonian,Challenge Match,Away,25,December,1875,1875-76,4-0,Win,J Grant ,Tom Vallance,David Hill,Sam Ricketts,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,James Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
